Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2018,3,Chaco,8.38604651162791,31.3756695785887
2018,3,Chubut,14.9732130210546,48.8459196764444
2018,3,Córdoba,29.188344909515,95.3330400865933
2018,3,Corrientes,9.17809647742678,34.8543130968411
2018,3,Entre Ríos,15.1912436765227,50.8074235346963
2018,3,Formosa,10.0486762117457,39.4802592111595
2018,3,Jujuy,12.1494844541887,47.509513085346
2018,3,La Pampa,23.5935219689134,71.6074653822998
2018,3,La Rioja,6.25336843009678,23.490635238887
2018,3,Mendoza,6.01784875720846,21.5640758384286
2018,3,Misiones,10.9547153837873,40.2179823557902
2018,3,Neuquén,12.4014827910162,41.6609229653046
2018,3,Río Negro,13.0426444460578,42.4022587698789
2018,3,Salta,12.6478486799886,52.2205606589285
